@RELATION NASA

@ATTRIBUTE host STRING
@ATTRIBUTE date DATE "dd/MM/yyyy" 
@ATTRIBUTE time DATE "HH:mm:ss"
@ATTRIBUTE method STRING
@ATTRIBUTE protocol STRING
@ATTRIBUTE status INTEGER
@ATTRIBUTE file STRING

@DATA
in24.inetnebr.com,8/1/1995,00:04:19,GET,HTTP/1.0,200,/shuttle/missions/sts-68/news/sts-68-mcc-14.txt
async59.ts-p-caps.caps.maine.edu,8/1/1995,00:04:20,GET,HTTP/1.0,200,/software/winvn/bluemarb.gif
uplherc.upl.com,8/1/1995,00:04:21,GET,HTTP/1.0,200,/shuttle/missions/sts-71/images/KSC-95EC-0908.jpg
piweba3y.prodigy.com,8/1/1995,00:04:22,GET,HTTP/1.0,200,/images/ksclogo-medium.gif
piweba1y.prodigy.com,8/1/1995,00:04:22,GET,HTTP/1.0,200,/history/apollo/images/apollo.gif
rpgopher.aist.go.jp,8/1/1995,00:04:25,GET,HTTP/1.0,200,/shuttle/resources/orbiters/endeavour.html
rpgopher.aist.go.jp,8/1/1995,00:04:28,GET,HTTP/1.0,200,/shuttle/resources/orbiters/endeavour-logo.gif
haraway.ucet.ufl.edu,8/1/1995,00:04:29,GET,HTTP/1.0,200,/ksc.html
haraway.ucet.ufl.edu,8/1/1995,00:04:30,GET,HTTP/1.0,200,/images/ksclogo-medium.gif
haraway.ucet.ufl.edu,8/1/1995,00:04:30,GET,HTTP/1.0,200,/images/NASA-logosmall.gif
haraway.ucet.ufl.edu,8/1/1995,00:04:30,GET,HTTP/1.0,200,/images/MOSAIC-logosmall.gif
haraway.ucet.ufl.edu,8/1/1995,00:04:30,GET,HTTP/1.0,200,/images/USA-logosmall.gif
haraway.ucet.ufl.edu,8/1/1995,00:04:31,GET,HTTP/1.0,200,/images/WORLD-logosmall.gif
async59.ts-p-caps.caps.maine.edu,8/1/1995,00:04:32,GET,HTTP/1.0,200,/software/winvn/wvsmall.gif
piweba3y.prodigy.com,8/1/1995,00:04:37,GET,HTTP/1.0,200,/images/NASA-logosmall.gif
haraway.ucet.ufl.edu,8/1/1995,00:04:42,GET,HTTP/1.0,200,/shuttle/countdown/
haraway.ucet.ufl.edu,8/1/1995,00:04:43,GET,HTTP/1.0,200,/shuttle/countdown/count70.gif
133.43.96.45,8/1/1995,00:04:43,GET,HTTP/1.0,200,/shuttle/missions/sts-49/mission-sts-49.html
async59.ts-p-caps.caps.maine.edu,8/1/1995,00:04:46,GET,HTTP/1.0,200,/images/KSC-logosmall.gif
haraway.ucet.ufl.edu,8/1/1995,00:04:47,GET,HTTP/1.0,200,/shuttle/countdown/lps/fr.html
haraway.ucet.ufl.edu,8/1/1995,00:04:48,GET,HTTP/1.0,200,/shuttle/countdown/lps/back.gif
haraway.ucet.ufl.edu,8/1/1995,00:04:48,GET,HTTP/1.0,200,/shuttle/countdown/lps/fr.gif
rpgopher.aist.go.jp,8/1/1995,00:04:49,GET,HTTP/1.0,200,/shuttle/missions/sts-70/images/images.html
piweba3y.prodigy.com,8/1/1995,00:04:49,GET,HTTP/1.0,200,/images/MOSAIC-logosmall.gif
async59.ts-p-caps.caps.maine.edu,8/1/1995,00:04:50,GET,HTTP/1.0,200,/images/MOSAIC-logosmall.gif
piweba3y.prodigy.com,8/1/1995,00:04:51,GET,HTTP/1.0,200,/images/USA-logosmall.gif
async59.ts-p-caps.caps.maine.edu,8/1/1995,00:04:53,GET,HTTP/1.0,200,/images/USA-logosmall.gif
piweba4y.prodigy.com,8/1/1995,00:04:53,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13.html
ppp8.montrealnet.ca,8/1/1995,00:04:53,GET,HTTP/1.0,200,/shuttle/missions/missions.html
133.43.96.45,8/1/1995,00:04:54,GET,HTTP/1.0,200,/shuttle/missions/sts-49/sts-49-patch-small.gif
haraway.ucet.ufl.edu,8/1/1995,00:04:55,GET,HTTP/1.0,200,/shuttle/countdown/lps/bkup-intg/bkup-intg.html
ppp8.montrealnet.ca,8/1/1995,00:04:56,GET,HTTP/1.0,200,/images/launchmedium.gif
haraway.ucet.ufl.edu,8/1/1995,00:04:56,GET,HTTP/1.0,200,/shuttle/countdown/lps/images/BKUP-INT.gif
async59.ts-p-caps.caps.maine.edu,8/1/1995,00:04:56,GET,HTTP/1.0,200,/images/WORLD-logosmall.gif
uplherc.upl.com,8/1/1995,00:04:57,GET,HTTP/1.0,200,/shuttle/missions/sts-71/images/KSC-95EC-0873.jpg
134.50.205.24,8/1/1995,00:04:57,GET,HTTP/1.0,200,/shuttle/missions/100th.html
piweba3y.prodigy.com,8/1/1995,00:04:58,GET,HTTP/1.0,200,/images/WORLD-logosmall.gif
ppp8.montrealnet.ca,8/1/1995,00:05:01,GET,HTTP/1.0,200,/images/KSC-logosmall.gif
rpgopher.aist.go.jp,8/1/1995,00:05:03,GET,HTTP/1.0,200,/shuttle/missions/sts-70/images/KSC-95EC-0575.gif
ppp8.montrealnet.ca,8/1/1995,00:05:07,GET,HTTP/1.0,200,/images/NASA-logosmall.gif
piweba3y.prodigy.com,8/1/1995,00:05:08,GET,HTTP/1.0,200,/images/ksclogo-medium.gif
slip4086.sirius.com,8/1/1995,00:05:10,GET,HTTP/1.0,200,/software/winvn/winvn.html
slip4086.sirius.com,8/1/1995,00:05:12,GET,HTTP/1.0,200,/images/construct.gif
slip4086.sirius.com,8/1/1995,00:05:12,GET,HTTP/1.0,200,/software/winvn/bluemarb.gif
133.43.96.45,8/1/1995,00:05:14,GET,HTTP/1.0,200,/shuttle/missions/sts-57/mission-sts-57.html
slip4086.sirius.com,8/1/1995,00:05:15,GET,HTTP/1.0,200,/software/winvn/wvsmall.gif
ppp8.montrealnet.ca,8/1/1995,00:05:16,GET,HTTP/1.0,200,/shuttle/missions/sts-70/mission-sts-70.html
slip4086.sirius.com,8/1/1995,00:05:18,GET,HTTP/1.0,200,/images/MOSAIC-logosmall.gif
slip4086.sirius.com,8/1/1995,00:05:18,GET,HTTP/1.0,200,/software/winvn/winvn.gif
slip4086.sirius.com,8/1/1995,00:05:18,GET,HTTP/1.0,200,/images/KSC-logosmall.gif
ppp8.montrealnet.ca,8/1/1995,00:05:19,GET,HTTP/1.0,200,/shuttle/missions/sts-70/sts-70-patch-small.gif
133.43.96.45,8/1/1995,00:05:20,GET,HTTP/1.0,200,/shuttle/missions/sts-57/sts-57-patch-small.gif
village.islandnet.com,8/1/1995,00:05:21,GET,HTTP/1.0,200,/shuttle/missions/sts-68/images/ksc-upclose.gif
slip4086.sirius.com,8/1/1995,00:05:22,GET,HTTP/1.0,200,/images/USA-logosmall.gif
slip4086.sirius.com,8/1/1995,00:05:23,GET,HTTP/1.0,200,/images/WORLD-logosmall.gif
204.248.155.42,8/1/1995,00:05:30,GET,HTTP/1.0,200,/images/
haraway.ucet.ufl.edu,8/1/1995,00:05:30,GET,HTTP/1.0,200,/shuttle/missions/sts-71/movies/movies.html
uplherc.upl.com,8/1/1995,00:05:32,GET,HTTP/1.0,200,/shuttle/missions/sts-71/images/KSC-95EC-0948.jpg
204.248.155.42,8/1/1995,00:05:32,GET,HTTP/1.0,200,/icons/menu.xbm
204.248.155.42,8/1/1995,00:05:32,GET,HTTP/1.0,200,/icons/image.xbm
