@RELATION NASA

@ATTRIBUTE host STRING
@ATTRIBUTE date DATE "dd/MM/yyyy" 
@ATTRIBUTE time DATE "HH:mm:ss"
@ATTRIBUTE method STRING
@ATTRIBUTE protocol STRING
@ATTRIBUTE status INTEGER
@ATTRIBUTE file STRING

@DATA
143.158.26.50,8/1/1995,00:18:00,GET,HTTP/1.0,200,/shuttle/missions/61-b/mission-61-b.html
143.158.26.50,8/1/1995,00:18:12,GET,HTTP/1.0,200,/shuttle/missions/61-c/mission-61-c.html
143.158.26.50,8/1/1995,00:18:39,GET,HTTP/1.0,200,/shuttle/missions/51-c/mission-51-c.html
dialip129.gov.bc.ca,8/1/1995,00:18:42,GET,HTTP/1.0,200,/history/apollo/apollo-11/apollo-11-info.html
143.158.26.50,8/1/1995,00:18:49,GET,HTTP/1.0,200,/shuttle/missions/51-d/mission-51-d.html
dialip129.gov.bc.ca,8/1/1995,00:19:07,GET,HTTP/1.0,200,/history/apollo/apollo-11/apollo-11-info.html
pm9.j51.com,8/1/1995,00:19:09,GET,HTTP/1.0,200,/history/apollo/apollo-goals.txt
uplherc.upl.com,8/1/1995,00:19:15,GET,HTTP/1.0,200,/shuttle/technology/sts-newsref/sts_coord.html
www-b3.proxy.aol.com,8/1/1995,00:19:27,GET,HTTP/1.0,200,/images/
ppp3_069.bekkoame.or.jp,8/1/1995,00:19:32,GET,HTTP/1.0,200,/shuttle/countdown/
blv-pm11-ip17.halcyon.com,8/1/1995,00:19:35,GET,HTTP/1.0,200,/
scctn02.sp.ac.sg,8/1/1995,00:19:41,GET,HTTP/1.0,200,/
pm9.j51.com,8/1/1995,00:19:51,GET,HTTP/1.0,200,/history/apollo/flight-summary.txt
139.230.35.135,8/1/1995,00:20:10,GET,HTTP/1.0,200,/shuttle/countdown/liftoff.html
dialip129.gov.bc.ca,8/1/1995,00:20:11,GET,HTTP/1.0,200,/history/apollo/apollo-11/images/
dd09-012.compuserve.com,8/1/1995,00:20:23,GET,HTTP/1.0,200,/ksc.html
cs1-08.leh.ptd.net,8/1/1995,00:20:41,GET,HTTP/1.0,200,/ksc.html
blv-pm11-ip17.halcyon.com,8/1/1995,00:20:41,GET,HTTP/1.0,200,/shuttle/countdown/
ip-pdx8-55.teleport.com,8/1/1995,00:20:42,GET,HTTP/1.0,200,/ksc.html
dd09-012.compuserve.com,8/1/1995,00:20:58,GET,HTTP/1.0,200,/shuttle/missions/sts-70/mission-sts-70.html
133.43.96.45,8/1/1995,00:21:01,GET,HTTP/1.0,200,/history/apollo/apollo-13/apollo-13.html
128.159.129.170,8/1/1995,00:21:06,GET,HTTP/1.0,200,/
ppp3_069.bekkoame.or.jp,8/1/1995,00:21:07,GET,HTTP/1.0,200,/shuttle/missions/sts-70/movies/movies.html
cs1-08.leh.ptd.net,8/1/1995,00:21:08,GET,HTTP/1.0,200,/shuttle/missions/sts-71/movies/movies.html
pm9.j51.com,8/1/1995,00:21:14,GET,HTTP/1.0,200,/history/apollo/as-201/as-201.html
tsip52.ionet.net,8/1/1995,00:21:16,GET,HTTP/1.0,200,/shuttle/missions/missions.html
ip-pdx8-55.teleport.com,8/1/1995,00:21:17,GET,HTTP/1.0,200,/shuttle/countdown/
sunset.somcau.siu.edu,8/1/1995,00:21:24,GET,HTTP/1.0,200,/shuttle/missions/sts-66/mission-sts-66.html
www-c6.proxy.aol.com,8/1/1995,00:21:44,GET,HTTP/1.0,200,/images/
pm9.j51.com,8/1/1995,00:21:54,GET,HTTP/1.0,200,/history/apollo/apollo-4/apollo-4.html
www-c6.proxy.aol.com,8/1/1995,00:21:55,GET,HTTP/1.0,200,/icons/menu.xbm
www-c6.proxy.aol.com,8/1/1995,00:21:58,GET,HTTP/1.0,200,/icons/blank.xbm
www-c6.proxy.aol.com,8/1/1995,00:21:58,GET,HTTP/1.0,200,/icons/image.xbm
www-c6.proxy.aol.com,8/1/1995,00:22:04,GET,HTTP/1.0,200,/icons/unknown.xbm
piweba1y.prodigy.com,8/1/1995,00:22:09,GET,HTTP/1.0,200,/shuttle/missions/sts-70/mission-sts-70.html
139.230.35.135,8/1/1995,00:22:12,GET,HTTP/1.0,200,/shuttle/countdown/liftoff.html
pm6a3.sover.net,8/1/1995,00:22:27,GET,HTTP/1.0,200,/ksc.html
pwestec.sierra.net,8/1/1995,00:22:34,GET,HTTP/1.0,200,/biomed/program.html
palpk-s13.intac.com,8/1/1995,00:22:40,GET,HTTP/1.0,200,/images/imagemaps/
cs1-08.leh.ptd.net,8/1/1995,00:22:41,GET,HTTP/1.0,200,/shuttle/missions/sts-71/movies/sts-71-launch-3.mpg
palpk-s13.intac.com,8/1/1995,00:22:41,GET,HTTP/1.0,200,/icons/text.xbm
ras15.srv.net,8/1/1995,00:22:48,GET,HTTP/1.0,200,/shuttle/missions/sts-56/mission-sts-56.html
palpk-s13.intac.com,8/1/1995,00:22:50,GET,HTTP/1.0,200,/images/imagemaps/stats.map
dd09-012.compuserve.com,8/1/1995,00:22:51,GET,HTTP/1.0,200,/shuttle/missions/missions.html
